,React,Product
0,COC(=O)C(CCCCNC(=O)OCc1ccccc1)NC(=O)Nc1cc(OC)cc(C(C)(C)C)c1O,COC(=O)C(CCCCN)NC(=O)Nc1cc(OC)cc(C(C)(C)C)c1O
1,COc1ccc(C(=O)Cc2c(Cl)c[n+]([O-])cc2Cl)c2c1OC1(CCCC1)O2,COc1ccc(C(O)Cc2c(Cl)c[n+]([O-])cc2Cl)c2c1OC1(CCCC1)O2
2,CC(C)(C)OC(=O)CONC(=O)NCc1cccc2ccccc12,O=C(O)CONC(=O)NCc1cccc2ccccc12
3,CCOC(=O)c1nnn(Cc2ccc(OC)cc2)c1C(=O)c1ccc(OC)c(OC)c1,CCOC(=O)c1nn[nH]c1C(=O)c1ccc(OC)c(OC)c1
4,COc1ccc(-c2nn(C(C)C)c3c(Cl)cccc23)cc1,CC(C)n1nc(-c2ccc(O)cc2)c2cccc(Cl)c21
5,CCN(c1nc(F)ccc1NC(C)C)C1CCN(Cc2ccccc2)CC1,CCN(c1nc(F)ccc1NC(C)C)C1CCNCC1
6,C[Si](C)(C)C#Cc1coc2ccc(C(=O)NC3CN4CCC3CC4)cc12,C#Cc1coc2ccc(C(=O)NC3CN4CCC3CC4)cc12
7,COC(=O)C(CC1CCCC1)n1ncc(Oc2ccccc2C(C)=O)cc1=O,CC(=O)c1ccccc1Oc1cnn(C(CC2CCCC2)C(=O)O)c(=O)c1
8,Cc1ccc(C(C)(C)C)cc1[N+](=O)[O-],Cc1ccc(C(C)(C)C)cc1N
9,COC(=O)CS(=O)(=O)Nc1cc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)ccc1C,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1NS(=O)(=O)CC(=O)O
10,CCOC(=O)CCc1c(C=C2C(=O)Nc3ccccc32)[nH]c2c1C(=O)CCC2,O=C(O)CCc1c(C=C2C(=O)Nc3ccccc32)[nH]c2c1C(=O)CCC2
11,C1=C(c2ccccn2)CCC2(C1)OCCO2,c1ccc(C2CCC3(CC2)OCCO3)nc1
12,CC1CN(C(=O)OC(C)(C)C)CCN1C1CCc2ccc(C(F)(F)F)cc21,CC1CNCCN1C1CCc2ccc(C(F)(F)F)cc21
13,CC(NC(c1ccc(F)cc1)c1cccc([N+](=O)[O-])c1)c1ccc(F)c(F)c1,CC(NC(c1ccc(F)cc1)c1cccc(N)c1)c1ccc(F)c(F)c1
14,COC(=O)C(N)c1cccc(NC2CCCCC2)c1,NC(CO)c1cccc(NC2CCCCC2)c1
15,CC(C)(C)C(=O)ONC(CSc1c(N)cccc1-c1ccccc1)C(=O)O,CC(C)(C)C(=O)ONC1CSc2c(cccc2-c2ccccc2)NC1=O
16,CCCCCc1ccc(-c2cc3cn(C4CC(OC(=O)OCc5ccccc5)C(CO[Si](C)(C)C(C)(C)C)O4)c(=O)nc3o2)cc1,CCCCCc1ccc(-c2cc3cn(C4CC(OC(=O)OCc5ccccc5)C(CO)O4)c(=O)nc3o2)cc1
17,CN(C)c1ccc(-c2cnc3ccc(O[Si](C)(C)C(C)(C)C)cc3n2)cc1,CN(C)c1ccc(-c2cnc3ccc(O)cc3n2)cc1
18,COC(=O)c1sc2cc(C(F)(F)F)ccc2c1C,Cc1c(C(=O)O)sc2cc(C(F)(F)F)ccc12
19,COc1ccc(C(O)C(NC(=O)C(CO)NC(=O)OC(C)(C)C)C(=O)OCc2ccccc2)cc1,COc1ccc(C(O)C(NC(=O)C(N)CO)C(=O)OCc2ccccc2)cc1
20,CCCOc1ccc(C)cc1-c1nc(N)c(N=O)c(=O)[nH]1,CCCOc1ccc(C)cc1-c1nc(N)c(N)c(=O)[nH]1
21,CCCc1nc2c(cc1C(=O)OC)C(=O)N(C1CCN(Cc3cc(C4CC4)c(-c4ccc(F)cc4F)c(F)c3OC)CC1)CC2,CCCc1nc2c(cc1C(=O)O)C(=O)N(C1CCN(Cc3cc(C4CC4)c(-c4ccc(F)cc4F)c(F)c3OC)CC1)CC2
22,CCOC(=O)CNC(=O)c1cccs1,O=C(O)CNC(=O)c1cccs1
23,CC(C)(C)OC(=O)NCCc1ccc(Oc2ncccc2C(N)=O)cc1,NCCc1ccc(Oc2ncccc2C(N)=O)cc1
24,CCc1nc2c(C)cc(CC(C)=O)nc2n1C1CCc2cc(-c3ccccc3-c3nnnn3C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc21,CCc1nc2c(C)cc(CC(C)O)nc2n1C1CCc2cc(-c3ccccc3-c3nnnn3C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc21
25,C=CCNc1nc(OCc2ccc(F)cc2F)c(Cl)c(=O)n1-c1cc(C(=O)OC)ccc1C,C=CCNc1nc(OCc2ccc(F)cc2F)c(Cl)c(=O)n1-c1cc(C(=O)O)ccc1C
26,COC(=O)c1ccc2c(c1)CC1C2CCCN1C(=O)c1ccc2[nH]cnc2c1,O=C(O)c1ccc2c(c1)CC1C2CCCN1C(=O)c1ccc2[nH]cnc2c1
27,CC(C)(C)OC(=O)CSc1nc2cc(-c3ccc(-c4ccccc4O)cc3)c(Cl)cc2[nH]1,O=C(O)CSc1nc2cc(-c3ccc(-c4ccccc4O)cc3)c(Cl)cc2[nH]1
28,CC1CN2c3c(cc4c(N5CCN(C(=O)OC(C)(C)C)CC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)C2C(C)O1,CC1CN2c3c(cc4c(N5CCNCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)C2C(C)O1
29,COc1ccc(C2SC=C(c3ccccc3)N(CCN(C)C)C(=O)C2OC(C)=O)cc1,COc1ccc(C2SC=C(c3ccccc3)N(CCN(C)C)C(=O)C2O)cc1
30,CCOC(=O)c1sc(Cl)nc1C(=O)NNC=O,CCOC(=O)c1sc(Cl)nc1-c1nnco1
31,O=C(NCCOc1ccc(-c2cnoc2)cc1)OCc1ccccc1,NCCOc1ccc(-c2cnoc2)cc1
32,COc1ccccc1N1CCN(C2CCC(O)(c3ccc(C)cc3C)CC2)CC1,COc1ccccc1N1CCN(C2CCC(c3ccc(C)cc3C)CC2)CC1
33,COC(=O)Cc1cc(OCc2ccc(F)cc2)ccc1C(=O)O,COC(=O)Cc1cc(OCc2ccc(F)cc2)ccc1CO
34,COc1cc(C)cc2c(=O)oc3c(c12)C(=O)c1cccc(O)c1C3=O,Cc1cc(O)c2c3c(oc(=O)c2c1)C(=O)c1c(O)cccc1C3=O
